t_rel_s,label,rms_m
79.794,screen,0.001631
79.831,screen,0.001308
79.877,screen,0.001155
79.910,screen,0.001042
79.954,screen,0.000972
79.995,screen,0.001087
80.031,screen,0.001168
80.077,screen,0.001158
80.111,screen,0.001140
80.154,screen,0.001081
80.193,screen,0.000895
80.229,screen,0.000775
80.274,screen,0.000802
80.311,screen,0.000754
80.358,screen,0.000843
80.395,screen,0.000957
80.433,screen,0.001005
80.479,screen,0.000989
80.514,screen,0.000957
80.559,screen,0.000990
80.596,screen,0.000943
80.638,screen,0.000880
80.677,screen,0.000846
80.716,screen,0.000744
80.760,screen,0.000668
80.793,screen,0.000631
80.839,screen,0.000634
80.878,screen,0.000633
80.915,screen,0.000667
80.960,screen,0.000645
80.996,screen,0.000648
81.041,screen,0.000743
81.078,screen,0.000843
81.116,screen,0.001021
81.159,screen,0.001194
81.195,screen,0.001453
81.239,screen,0.001301
81.278,screen,0.001162
81.315,screen,0.001050
81.362,screen,0.000972
81.396,screen,0.000984
81.443,screen,0.000921
81.479,screen,0.000863
81.521,screen,0.000778
81.560,screen,0.000737
81.598,screen,0.000687
81.642,screen,0.000668
81.678,screen,0.000664
81.721,screen,0.000657
81.762,screen,0.000648
81.799,screen,0.000678
81.843,screen,0.000739
81.878,screen,0.000818
81.921,screen,0.001099
81.960,screen,0.001128
81.999,screen,0.001135
82.043,screen,0.001107
82.080,screen,0.000982
82.126,screen,0.000878
82.162,screen,0.000817
82.200,screen,0.000801
82.245,screen,0.000764
82.282,screen,0.000724
82.326,screen,0.000719
82.361,screen,0.000668
82.399,screen,0.000570
82.442,screen,0.000582
82.477,screen,0.000720
82.517,screen,0.000696
82.561,screen,0.000709
82.600,screen,0.000722
82.645,screen,0.000683
83.530,screen,0.000778
83.560,screen,0.000633
83.605,screen,0.000610
83.645,screen,0.000574
83.688,screen,0.000722
83.730,screen,0.000700
83.765,screen,0.000684
83.810,screen,0.000739
83.847,screen,0.000772
83.891,screen,0.000829
83.927,screen,0.000864
83.967,screen,0.000930
84.010,screen,0.000932
84.046,screen,0.000909
84.093,screen,0.000863
84.129,screen,0.000761
84.171,screen,0.000673
84.210,screen,0.000627
84.248,screen,0.000612
84.293,screen,0.000585
84.327,screen,0.000564
84.373,screen,0.000550
84.414,screen,0.000541
84.446,screen,0.000504
84.493,screen,0.000576
84.528,screen,0.000561
84.569,screen,0.000608
84.611,screen,0.000659
84.646,screen,0.000662
84.693,screen,0.000587
84.729,screen,0.000571
84.772,screen,0.000584
84.811,screen,0.000610
84.847,screen,0.000687
84.889,screen,0.000806
84.928,screen,0.000679
84.972,screen,0.000642
85.009,screen,0.000563
85.046,screen,0.000595
85.092,screen,0.000589
85.127,screen,0.000584
85.167,screen,0.000679
85.211,screen,0.000608
85.248,screen,0.000692
85.287,screen,0.000688
85.326,screen,0.000769
85.370,screen,0.000704
85.413,screen,0.000744
85.454,screen,0.000663
85.493,screen,0.000638
85.532,screen,0.000669
85.575,screen,0.000631
85.614,screen,0.000710
85.653,screen,0.000732
85.695,screen,0.000732
85.734,screen,0.000716
85.776,screen,0.000746
